model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o_no_prompt,90.1,88.71,91.29,"(-1.39, +1.19)",664.0,2024-08-08
gpt-4o,89.66,88.36,91.19,"(-1.30, +1.53)",684.0,2024-08-08
claude-3-5-sonnet-20240620,86.39,84.94,87.81,"(-1.45, +1.42)",567.0,2024-08-08
gpt-4o-mini,85.19,83.41,86.77,"(-1.78, +1.58)",668.0,2024-08-08
mistral-large-2407,82.32,80.34,84.1,"(-1.98, +1.78)",623.0,2024-08-08
gemini-1.5-pro-api-0514,76.55,74.52,78.61,"(-2.03, +2.06)",676.0,2024-08-08
llama3_1_70b,68.05,66.45,69.83,"(-1.60, +1.78)",687.0,2024-08-08
llama3_1_70b_no_prompt,67.9,65.78,69.75,"(-2.12, +1.85)",666.0,2024-08-08
claude-3-opus-20240229,67.29,64.75,69.46,"(-2.54, +2.17)",541.0,2024-08-08
llama-3.1-405b-instruct,67.14,64.7,68.83,"(-2.44, +1.69)",633.0,2024-08-08
llama-3.1-70b-instruct,63.68,61.47,65.82,"(-2.21, +2.14)",0.0,2024-08-08
llama3_1_70b_awq_int4_no_prompt,61.43,59.25,63.24,"(-2.18, +1.81)",632.0,2024-08-08
gemma-2-27b-it,59.57,57.1,61.89,"(-2.47, +2.32)",577.0,2024-08-08
llama3_1_70b_fp8_no_prompt,59.27,57.44,61.18,"(-1.83, +1.91)",616.0,2024-08-08
llama3_1_70b_fp8,58.08,55.91,60.27,"(-2.17, +2.19)",604.0,2024-08-08
llama3_1_70b_fp8_1,57.81,55.43,60.28,"(-2.38, +2.47)",619.0,2024-08-08
llama3_1_70b_fp8_2,57.31,55.0,60.44,"(-2.31, +3.13)",609.0,2024-08-08
llama3_1_70b_awq_int4,57.01,54.83,59.03,"(-2.18, +2.02)",619.0,2024-08-08
llama3_70b_no_prompt,55.42,53.01,57.67,"(-2.41, +2.25)",579.0,2024-08-08
llama3_70b_fp8_no_prompt,54.44,51.95,57.12,"(-2.49, +2.68)",593.0,2024-08-08
llama3_1_70b_awq4,51.26,49.33,54.14,"(-1.93, +2.88)",592.0,2024-08-08
llama3_70b_awq_int4_no_prompt,51.26,49.33,53.64,"(-1.93, +2.38)",554.0,2024-08-08
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-08
mixtral-8x22b-instruct-v0.1,36.15,34.37,38.22,"(-1.78, +2.07)",430.0,2024-08-08
gpt-3.5-turbo-0125,17.81,16.29,19.13,"(-1.52, +1.32)",329.0,2024-08-08
